0	7.92e-20
34.812	5.744e-20
69.624	4.996e-20
116.04	4.316e-20
139.25	4.047e-20
162.46	3.809e-20
197.27	3.498e-20
232.08	3.229e-20
290.1	2.818e-20
348.12	2.532e-20
406.14	2.261e-20
464.16	2.029e-20
580.2	1.647e-20
696.24	1.347e-20
812.28	1.108e-20
928.32	9.128e-21
1044.4	7.519e-21
1160.4	6.211e-21
1276.4	5.119e-21
1392.5	4.218e-21
1508.5	3.498e-21
1624.6	2.858e-21
1740.6	2.346e-21
1972.7	1.624e-21
2088.7	1.368e-21
2204.8	1.171e-21
2320.8	1.035e-21
2436.8	9.41e-22
2552.9	8.86e-22
2668.9	8.67e-22
2785	8.78e-22
2901	9.17e-22
3017	9.78e-22
3133.1	1.06e-21
3249.1	1.161e-21
3481.2	1.406e-21
4061.4	2.206e-21
4641.6	3.152e-21
5802	5.169e-21
8122.8	8.956e-21
9283.2	1.068e-20
11604	1.403e-20
13925	1.66e-20
17406	2.05e-20
19727	2.33e-20
23208	2.7e-20
29010	3.43e-20
34812	4.1e-20
46416	5.4e-20
58020	7e-20
69624	8.6e-20
81228	1.02e-19
92832	1.23e-19
1.1604e+05	1.58e-19
1.3925e+05	1.65e-19
1.9727e+05	1.31e-19
2.3208e+05	1.15e-19
2.901e+05	9e-20
3.4812e+05	7.2e-20
8.703e+05	3.5e-20
