1.8288e+05	0
1.8566e+05	2.023e-22
1.9727e+05	1.337e-21
2.0887e+05	2.938e-21
2.2048e+05	4.601e-21
2.3208e+05	6.272e-21
2.4368e+05	7.873e-21
2.5529e+05	9.325e-21
2.6689e+05	1.056e-20
2.785e+05	1.179e-20
2.901e+05	1.302e-20
3.017e+05	1.408e-20
3.2491e+05	1.601e-20
3.4812e+05	1.803e-20
3.7133e+05	1.962e-20
3.9454e+05	2.111e-20
4.1774e+05	2.243e-20
4.4095e+05	2.331e-20
4.6416e+05	2.393e-20
4.9317e+05	2.446e-20
5.2218e+05	2.49e-20
5.802e+05	2.534e-20
6.3822e+05	2.595e-20
6.9624e+05	2.657e-20
7.5426e+05	2.727e-20
8.1228e+05	2.771e-20
8.703e+05	2.815e-20
9.2832e+05	2.841e-20
9.8634e+05	2.85e-20
1.0444e+06	2.859e-20
1.1604e+06	2.85e-20
1.3345e+06	2.824e-20
1.5085e+06	2.762e-20
1.6826e+06	2.709e-20
1.8566e+06	2.622e-20
2.0887e+06	2.516e-20
2.3208e+06	2.393e-20
4.6416e+06	1.69e-20
8.1228e+06	1.17e-20
1.1604e+07	9.27e-21
