2.354e+06,0
2.3718e+06,2.023e-22
2.4448e+06,1.337e-21
2.5157e+06,2.938e-21
2.5847e+06,4.601e-21
2.6518e+06,6.272e-21
2.7172e+06,7.873e-21
2.7812e+06,9.325e-21
2.8437e+06,1.056e-20
2.9049e+06,1.179e-20
2.9648e+06,1.302e-20
3.0235e+06,1.408e-20
3.1376e+06,1.601e-20
3.2478e+06,1.803e-20
3.3543e+06,1.962e-20
3.4575e+06,2.111e-20
3.5577e+06,2.243e-20
3.6552e+06,2.331e-20
3.7502e+06,2.393e-20
3.8656e+06,2.446e-20
3.9777e+06,2.49e-20
4.1928e+06,2.534e-20
4.3975e+06,2.595e-20
4.593e+06,2.657e-20
4.7806e+06,2.727e-20
4.961e+06,2.771e-20
5.1352e+06,2.815e-20
5.3036e+06,2.841e-20
5.4668e+06,2.85e-20
5.6254e+06,2.859e-20
5.9296e+06,2.85e-20
6.3588e+06,2.824e-20
6.7607e+06,2.762e-20
7.1402e+06,2.709e-20
7.5003e+06,2.622e-20
7.9553e+06,2.516e-20
8.3857e+06,2.393e-20
1.1859e+07,1.69e-20
1.5688e+07,1.17e-20
1.8751e+07,9.27e-21
